DAY FLUX ERROR
56690.61 32.40 0.89 
56691.54 34.80 0.92 
56692.39 37.50 0.95 
56693.32 39.10 0.98 
56695.27 41.10 0.99 
56696.25 45.90 1.05 
56697.31 48.70 1.08 
56698.30 52.50 1.13 
56699.23 49.30 1.10 
56700.23 48.30 1.08 
56701.36 49.00 1.08 
56702.16 51.10 1.11 
56703.15 52.80 1.13 
56705.34 49.00 1.09 
56706.21 46.80 1.06 
56707.20 49.20 1.08 
56708.26 43.40 1.02 
56709.26 40.70 0.99 
56710.26 35.10 0.92 
56711.12 31.00 0.88 
56712.18 32.70 0.90 
56713.18 32.40 0.89 
56714.24 31.50 0.88 
56715.04 28.30 0.84 
56715.90 27.50 0.83 
56716.84 25.20 0.81 
56718.83 23.20 0.77 
56720.15 21.50 0.76 
56721.02 19.40 0.73 
56722.09 18.70 0.72 
56723.14 17.80 0.72 
56726.06 20.50 0.74 
56727.06 18.20 0.71 
56727.79 19.40 0.73 
56728.92 19.80 0.74 
56729.78 21.20 0.75 
56730.85 21.10 0.75 
56731.97 20.70 0.75 
56732.91 20.20 0.74 
56733.85 22.10 0.76 
56734.84 25.40 0.81 
56735.85 32.00 0.89 
56736.44 36.90 0.94 
56737.69 38.50 0.96 
56738.50 40.20 0.98 
56739.68 46.30 1.05 
56740.36 50.00 1.11 
56741.35 46.40 1.06 
56744.40 59.00 1.20 
56745.25 57.70 1.19 
56746.25 57.10 1.18 
56747.18 59.80 1.21 
56748.24 60.10 1.21 
56749.17 55.90 1.16 
56750.30 53.40 1.13 
56751.16 50.50 1.10 
56752.02 49.80 1.10 
56753.02 39.30 0.97 
56753.97 32.80 0.89 
56755.21 32.00 0.89 
56756.14 33.40 0.90 
56757.14 34.80 0.92 
56759.26 33.00 0.90 
56760.12 34.00 0.91 
56761.05 37.60 0.96 
56762.12 38.40 0.96 
56763.05 39.40 0.97 
56764.24 40.00 0.99 
56765.17 37.00 0.95 
56765.97 38.90 0.97 
56767.03 41.20 0.99 
56768.09 43.10 1.02 
56769.15 49.20 1.09 
56770.08 51.20 1.12 
56771.08 52.90 1.13 
56772.01 56.70 1.17 
56773.07 55.70 1.16 
56774.00 54.90 1.15 
56774.60 55.70 1.16 
56775.59 52.90 1.14 
56776.72 48.10 1.08 
56777.45 50.80 1.10 
56778.46 47.30 1.07 
56779.44 47.20 1.07 
56780.46 46.80 1.06 
56781.36 45.40 1.05 
56782.37 42.40 1.01 
56783.36 49.10 1.08 
56784.76 55.70 1.16 
56785.75 60.00 1.21 
56786.69 55.00 1.15 
56787.29 53.30 1.14 
56788.28 52.20 1.12 
56789.28 46.50 1.05 
56790.27 42.70 1.01 
56791.27 42.20 1.01 
56792.27 49.50 1.09 
56793.20 50.50 1.11 
56794.19 47.90 1.07 
56795.25 44.90 1.03 
56796.11 45.10 1.04 
56797.08 52.10 1.12 
56798.11 50.40 1.10 
56799.16 49.00 1.09 
56800.02 50.30 1.10 
56801.03 49.60 1.09 
56802.02 49.10 1.09 
56803.01 48.60 1.08 
56805.00 45.20 1.05 
56805.99 45.40 1.04 
56807.12 44.30 1.03 
56808.05 46.10 1.05 
56809.11 47.80 1.07 
56809.91 46.60 1.06 
56810.84 45.30 1.05 
56812.03 49.50 1.09 
56812.96 51.40 1.11 
56814.09 52.10 1.12 
56814.89 55.70 1.16 
56816.08 57.20 1.18 
56816.94 62.00 1.24 
56817.93 68.60 1.31 
56818.93 72.50 1.34 
56819.74 71.40 1.34 
56820.99 67.50 1.29 
56821.86 64.40 1.26 
56822.79 60.60 1.22 
56823.85 59.80 1.20 
56824.64 58.10 1.18 
56825.65 53.90 1.14 
56826.90 44.00 1.03 
56827.77 43.80 1.03 
56828.49 42.30 1.02 
56829.62 38.60 0.96 
56830.48 38.90 0.96 
56831.68 42.80 1.01 
56832.27 43.30 1.02 
56833.80 49.20 1.09 
56834.80 50.30 1.11 
56835.79 45.20 1.04 
56836.21 45.50 1.04 
56837.65 45.90 1.05 
56838.18 45.30 1.04 
56839.20 46.50 1.06 
56840.13 47.90 1.08 
56841.19 45.10 1.04 
56842.19 45.40 1.04 
56843.12 43.10 1.02 
56844.18 39.70 0.98 
56845.02 39.80 0.98 
56846.11 40.20 0.99 
56847.04 38.20 0.96 
56848.03 37.90 0.95 
56849.09 37.10 0.95 
56850.00 33.10 0.90 
56850.93 31.60 0.88 
56851.92 31.60 0.89 
56852.92 32.80 0.90 
56854.05 30.70 0.87 
56855.05 33.20 0.90 
56856.17 37.50 0.95 
56857.17 43.80 1.03 
56858.09 47.50 1.08 
56858.89 44.00 1.02 
56860.08 41.40 1.00 
56860.95 41.00 1.00 
56861.81 38.40 0.96 
56862.87 37.00 0.95 
56863.87 41.80 1.01 
56864.86 43.20 1.02 
56865.92 50.60 1.10 
